Nazwa,ECTS,Tryb,Kryteria
Filozofia nauk ścisłych i matematyki do XIX w.,6.0,w sali,"Zaliczenie na ocenę. 
Dla zaliczenia przedmiotu wymagane jest: 
1) regularne uczęszczanie na wykład 
[UWAGA: W przypadku konieczności nauczania zdalnego, warunek ten zastąpiony jest przez wymóg regularnego słuchania wykładu przez internet i/lub zapoznawania się z materiałami rozsyłanymi co tydzień mailami przez wykładowcę; ponadto co tydzień student ma odpowiedzieć mailem na przesłane wraz z materiałami pytania kontrolne],
2) napisanie i przesłanie mailem eseju, ocenianego na stopień 
[ten wymóg nie zmienia się w przypadku konieczności nauczania zdalnego]. 
Temat eseju wybiera student (w razie wątpliwości może go uzgodnić z wykladowcą). Esej ma dotyczyć jakiegoś zagadnienia szeroko rozumianej filozofii, zwiazanego z problemami matematyki i/lub fizyki, chemii bądź astronomii/kosmologii, ktore pojawily sie w nauce przed 1870 r.
Esej ma być napisany samodzielnie. Ma zawierać wstęp (w którym m.in. sformułowane jest główne zagadnienie i cel eseju), część opartą na wiedzy zaczerpniętej z książek lub artykułów, opis i analiza kwestii, wokół której koncentruje sie esej, podsumowanie i wnioski, bibliografia. 
Szczegóły dotyczące sposobu napisania eseju są na początku semestru wysyłane mailem do słuchaczy. Ocena z eseju jest oceną z przedmiotu.
Przy ocenie bierze się pod uwagę zarówno treść eseju, jak i sposób jego napisania, klarowność wywodów oraz poziom językowy pracy."
Jak TO działa? Urządzenia kwantowe,3.0,lektura monograficznaw sali,"OBECNOŚĆ: - w zasadzie obowiązkowa (trzeba być co najmniej na 10 z 15 wykładów). Na początku każdego wykładu prosty test, więc żeby być dopuszczonym do zaliczenia wykładu należy zdobyć co najmniej 10p z 15 możliwych.
ZALICZENIE: Jedna z trzech form:
1. esej na temat PRZYSZŁOŚCI
2. film pokazujący doświadczenie i jego POPULARNE wyjaśnienie na gruncie mechaniki kwantowej
3. Końcowy TEST z wiedzy przekazanej w czasie wykładów"
Klimatyczne ABC. Interdyscyplinarne wprowadzenie do problemu zmiany klimatu i kryzysu ekologicznego.,2.0,zdalnie,Ocena końcowa zostanie wystawiona na podstawie punktów za zadania i testy wykonywane na platformie Kampus w ciągu semestru i na koniec kursu.
Kurs na Równość - przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
Bioinformatyka,1.5,w sali,Test zaliczeniowy składający się z około 10 pytań zamkniętych i 5 otwartych (przeprowadzony w sali)  lub egzamin ustny (możliwy w trybie zdalnym).
Chemiczna analiza w badaniu środowiska,2.0,w sali,"Zaliczenie na ocenę lub zaliczenie na podstawie obecności dla studentów, którzy rozpoczęli studia przed rokiem akademickim 2005/2006."
"Chemia i biologia życia codziennego, czyli jak najprościej wytłumaczyć zjawiska zachodzące wokół nas",3.0,mieszany: w sali i zdalnie,"Zajęcia zaliczane będą na ocenę, składającą się z oceny zadań otrzymywanych przez uczestników oraz ich aktywności podczas zajęć.
Rejestr obecności będzie prowadzony podczas zajęć stacjonarnych i synchronicznych (sprawdzanie listy obecności).
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu wynosi 1.
Zaliczenie w terminie poprawkowym można uzyskać po zaliczeniu prac."
Chemia morza i regionów polarnych,2.0,mieszany: w sali i zdalnie,Zaliczenie przedmiotu odbywa się na podstawie krótkiego testu jednokrotnego wyboru i opracowania (w formie 5-minutowej prezentacji) oraz przedyskutowania aktualnego artykułu naukowego związanego z treścią wykładu i zainteresowaniami słuchacza.
Chemia wokół nas – zajęcia laboratoryjne,2.0,w sali,"Ocena wystawiana jest na podstawie:
- uczestnictwa w zajęciach
- zaliczenia kart pracy
- wykonania pracy domowej (implementowanej na platformie Kampus)
Rejestr obecności będzie prowadzony podczas zajęć (sprawdzanie listy obecności).
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu wynosi 2.
Zaliczenie w terminie poprawkowym można uzyskać po wykonaniu pracy domowej i zaliczeniu kart pracy."
Chór Wydziału Chemii I,3.0,w sali,"Obecność na próbach i koncertach Chóru;
Umiejętność wykonania partii wokalnych wybranych utworów - oceniana na podstawie pracy na próbach i/lub indywidualnych zajęć;
Aktywność i zaangażowanie podczas zajęć oraz w  pracy własnej chórzysty w zakresie przygotowaniu do prób na podstawie dostępnych materiałów i nagrań."
General Chemistry,6.0,w sali,"Dwa pisemne testy i pisemny końcowy egzamin na który składa się 10 - 15 pytań. 
Możliwe jest zaliczenie na podstawie obecności."
Marine Microplastics: from the anthropogenic litter to the plastisphere,1.5,mieszany: w sali i zdalnie,The oral presentation of the selected scientific article and short quiz. All details to be given and clarified at the first lecture.
Wstęp do nanotechnologii,1.5,mieszany: w sali i zdalnie,Zaliczenie na podstawie krótkiego quizu i prezentacji (5 min.) wybranego zagadnienia zgodnego z tematyką wykładu oraz zainteresowaniami słuchacza.
Zastosowanie enzymów w syntezie organicznej,1.5,w sali,"Zaliczenie na ocenę (test z pytaniami zamkniętymi).
0% -   50%  2 
51% - 60%  3
61% - 70%  3,5
71% - 80%  4
81% - 90%  4,5
91% -100% 5"
Chór Wydziału Biologii,3.0,w sali,"Na ocenę z przedmiotu składają się dwa czynniki: przestrzeganie regulaminu chóru, z którym uczestnicy zostaną zapoznani w trakcie zajęć, obecności na próbach oraz udział w koncertach chóru. Maksymalna ocena, którą można uzyskać dla danej liczby nieobecności, przedstawia się następująco:
0-1 nieobecności: 5!
2 nieobecności: 5
3 nieobecności: 4+
4 nieobecności: 4
5 nieobecności: 3+
6 nieobecności: 3
7 i więcej: 2
Udział w koncertach: warunkiem zaliczenia na ocenę dostateczną jest uczestnictwo w trzech koncertach chóru. Za uczestnictwo w każdym kolejnym koncercie student uzyskuje podwyższenie oceny końcowej o jeden stopień."
Kurs na Równość – przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
Sterowanie procesami morfogenetycznymi w hodowlach in-vitro,3.0,w sali,"Warunkiem dopuszczenia do zaliczenia laboratorium jest co najmniej 80% obecność na zajęciach. Student przygotowuje prezentację multimedialną lub plakat z osiągniętych wyników. 
Egzamin w formie pisemnej."
Biologia molekularna dla niebiologów,2.0,mieszany: w sali i zdalnie,"Obecność na zajęciach oraz pozytywna ocena z egzaminu pisemnego są warunkiem zaliczenia przedmiotu.
1. Obecność na zajęciach
Dopuszcza się 3 nieobecności w trakcie semestru. Obecność na zajęciach będzie weryfikowana na podstawie własnoręcznego podpisu studenta składanego na liście osób zapisanych na zajęcia.
2. Egzamin pisemny
Na ostatnich zajęciach zostanie przeprowadzony egzamin pisemny w formie testu. Student może korzystać w trakcie egzaminu z własnych notatek."
"Bakterie, wirusy a człowiek",2.0,w sali,Egzamin testowy
Ochrona przyrody,2.0,w sali,Test jednokrotnego wyboru (4 możliwe odpowiedzi) składający się z 50 pytań. Zaliczenie - powyżej 60% poprawnych odpowiedzi.
Inwazje biologiczne,2.0,w salizdalnie,"Forma egzaminu: pisemna [ewentualnie zdalna]: test pojedynczego wyboru lub test wielokrotnego wyboru; pytania opisowe. 
Zalicza 51% możliwych do zdobycia punktów."
Biologia zapylania roślin,2.0,w sali,Kurs zaliczany jest na podstawie egzaminu testowego.
Biotechnologia roślin: GMO dla ochrony środowiska,2.0,w sali,Do zaliczenia wykładu konieczna jest obecność na zajęciach (możliwe trzy nieobecności). Ocena końcowa wystawiana na podstawie pisemnego egzaminu. Na egzaminie można mieć ze sobą notatki z wykładów.
"Kult istotności statystycznej. Ukryte niepewności losowe w nauce, ich źródła w ludzkim umyśle i nieoczekiwane skutki",2.0,w sali,Kilka bardzo krótkich sprawdzianów pisemnych w trakcie wykładu (o łącznej wadze nieprzekraczającej 25% punktów) i pisemny egzamin końcowy; ocena na podstawie całkowitej sumy punktów. Obecność na wykładzie obowiązkowa; liczba dopuszczalnych nieobecności - zgodnie z Regulaminem Studiów.
Przemiany w Europie Środkowej i Wschodniej po II wojnie światowej,1.0,w sali,"Test zaliczeniowy.
 Aby zostać dopuszczonym do testu należy być obecnym co najmniej na jednym wcześniejszym wykładzie."
Historia odkryć geograficznych I,2.0,w sali,"Zaliczenie na ocenę.
Obecność na wykładach (można mieć 5 nieobecności)
Przygotowanie pracy pisemnej - eseju - na podany temat. W eseju przy ocenie brana jest także pod uwagę strona ilustracyjna (mapy)."
Migracje zarobkowe i ich skutki społeczno-gospodarcze,2.0,w sali,"Zaliczenie na podstawie wyniku z testu pisemnego składającego się z pytań otwartych i zamkniętych (ostatnie wspólne zajęcia)
Do uzyskania pozytywnej oceny wymagane jest 50% punktów.
Poprawa odbywa się na tych samych zasadach co pierwsze kolokwium."
GIS - funkcjonalność i zastosowania,4.0,w sali,"Ocenianie ciągłe – postępy w pracy podczas zajęć, wykonanie ćwiczeń wg instrukcji. Przygotowanie na ostatnich zajęciach projektu na zaliczenie. Składowe oceny: ocena bieżąca - 75 %, projekt końcowy - 25%.
Dopuszcza się dwie nieusprawiedliwione nieobecności na ćwiczeniach. Dopuszczalna całkowita liczba nieobecności na zajęciach (usprawiedliwionych i nieusprawiedliwionych) wynosi 7, niemniej student zobowiązany jest uzupełnić zaległości powstałe w wyniku nieobecności (bez względu na jej przyczynę) w ciągu 2 tygodni od jej zakończenia. Szczegółowe informacje na temat trybu prowadzenia i zaliczenia ćwiczeń zostaną przekazane na pierwszych zajęciach."
Gospodarowanie na obszarach zimnych,2.0,w sali,"Końcowe zaliczenie pisemne w formie eseju dotyczącego wybranych przez studenta zagadnień poruszanych na wykładzie.
Ocena za esej stanowi 50% oceny końcowej, kontrola obecności drugie 50% oceny. 
Nieusprawiedliwiona nieobecność na 8 wykładach skutkuje niezaliczeniem przedmiotu. 
Ocena b.db. przyznawana jest w przypadku wysokiej frekwencji (nie więcej niż 2 nieusprawiedliwione nieobecności) oraz eseju, który znacząco rozszerza tematykę poruszaną na wykładach.
Jest możliwość zaliczenia w sesji poprawkowej na tych samych zasadach."
Geography of the World,6.0,w sali,"Written exam with test questions.
Discussions and workshops during lectures.
The final exam is a written test consisting of open and closed questions. 50% of the points are required to obtain a positive grade.
The make-up exam takes place on the same terms as passing the exam for the first time."
Global problems in the contemporary world,4.0,w sali,"Written exam with test questions.
The exam is a written test consisting of open and closed questions. 50% of the points are required to obtain a positive grade.
The make-up exam takes place on the same terms as passing the exam for the first time."
Geografia turystyczna Europy,2.0,w sali,"Ocenie podlega stopień przyswojenia wiedzy przekazanej podczas wykładu.
Podstawę zaliczenia stanowi ocena z pisemnego testu."
Geografia turystyczna krajów arabskich,2.0,w sali,"Metody oceny: 
Praca semestralna (pisemna) na ocenę, oddawana w formie elektronicznej."
Historia miasta na dawnych planach Warszawy,1.0,w sali,Zaliczenie na podstawie „wyjściówek” – krótkich refleksji i/lub odpowiedzi na temat przedmiotu poszczególnych zajęć pisanych pod koniec każdego wykładu. Możliwe podniesienie oceny przez przygotowanie pracy zaliczeniowej lub rozmowę z prowadzącym o treściach wykładu.
"Kolonializm, postkolonializm, neokolonializm (I)",2.0,w sali,Egzamin pisemny w sesji - próg zaliczenia 50%
Kurs na Równość – przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
"Mikrokosmosy, czyli podróż przez Polskę regionów i małych ojczyzn",2.0,w sali,"Wykład zakończony będzie testem składającym się z pytań zamkniętych i otwartych. W zależności od wielkości grupy test może być przeprowadzony stacjonarnie bądź online. Zaliczenie przy zdobyciu co najmniej 60% punktów.
Możliwe zaliczenie w terminie zerowym poprzez wykonanie pracy kreatywnej związanej z małą ojczyzną studenta. Praca indywidualna. Termin oddania na 2 tygodnie przed terminem egzaminu."
Natural environment of Poland,4.0,zdalnie,"Attendance is optional, except for the last class with the test."
Obraz chorób zakaźnych w sztuce i historii,6.0,w sali,Zaliczenie zajęć odbywać się będzie na podstawie kontrolowanej obecności. Dodatkowo na ostatnich zajęciach drugiego semestru zostanie przygotowany test z pytaniami zamkniętymi.
Seminarium Warszawskie,2.0,w sali,"Obecność i aktywność studentów / doktorantów będzie oceniana następująco: obecność – 20% oceny, udział w dyskusji – 40% oceny, esej zaliczeniowy – 40% oceny. Aby uzyskać ocenę pozytywną, należy uzyskać 50% ocen cząstkowych (czyli sumarycznie – odpowiednio: 10%, 20% i 20%) – co oznacza, że należy uczestniczyć stacjonarnie co najmniej w 80% zajęć, podczas co najmniej trzech zajęć zabrać głos oraz napisać esej zaliczeniowy oceniony co najmniej na ocenę dostateczną (3). Esej powinien nawiązywać merytorycznie do wybranego tematu dyskutowanego podczas zajęć.
Sposób zaliczenia - obligatoryjnie: obecność podczas 80% zajęć, udział w dyskusji oraz esej zaliczeniowy na koniec cyklu zajęć."
Sustainable development - between global and local perspectives,4.0,w sali,"1. During the course: student's active participation in the classes is expected - asking questions, offering examples from their experience, etc.
2. At the end of the course:  
- all students take the final exam 
- there are two classes dedicated to workshops at the end of the course. The presenters can get extra points to their active attendance part of the grade for well-prepared presentations. 
3. Final grade
Active participation in the class (incl. presentation extra credit) = 40% of the final grade
Final exam = 60% of the final grade"
"Biblia a człowiek, polityka, wojny i władza",4.0,w sali,"Zajęcia w formie konwersatorium. Podstawą do dyskusji będzie lektura tekstów źródłowych i współczesnych
materiałów oraz wspólna ich analiza w trakcie kursu.
Kryteria zaliczenia przedmiotu:
Czynna obecność́ na zajęciach (możliwe dwie nieobecności).
Praca zaliczeniowa – esej na temat ustalony z prowadzącym."
"Powstanie nowoczesnych narodów i państw w Europie Środkowschodniej XIX, XX i XXI wieku",4.0,w sali,"kontrola obecności – charakter dopuszczający, ocena ciągła (bieżące przygotowanie do zajęć i aktywność) – 40%, praca semestralna (esej, referat): 60 %."
European legal tradition,4.0,w sali,"Zajęcia łączą tradycyjną metodę wykładu z elementami pracy własnej studentów. Każdy z uczestników zobowiązany jest do przygotowania prezentacji na wybrany przez siebie temat spośród listy 15 tematów podanych w ""pełnym opisie"". Jeśli nie uda się przedstawić prezentacji, student składana wybrany temat pisemny esej, który podlega ocenie."
Ochrona prawna konkurencji,4.0,zdalnie,"Poziom wiedzy, zrozumienie materiału i umiejętność samodzielnego wnioskowania, aktywność na zajęciach.
Analiza problemowa tekstów prawnych, kazusów, orzecznictwa. Samodzielne przygotowanie zajęć przez studentów."
Prawo reklamy,4.0,w sali,Sposób zaliczenia	Obecność na zajęciach. Referat opracowany pisemnie lub pisemna praca zaliczeniowa lub przygotowanie do zajęć i udział w dyskusjach.
Konstytucyjne granice wolności jednostki,4.0,w sali,"Forma zaliczenia przedmiotu: lista obecności, praca zaliczeniowa."
"Czarownice, zabójcy, rozwodnicy. Z dziejów prawa na ziemiach polskich XVI - XX w.",4.0,w sali,"Kontrola obecności: waga 40%
Kolokwium na koniec zajęć: waga 40%
Fakultatywny esej lub referat wygłaszany na zajęciach: waga 60%."
Prawo dyplomatyczne i konsularne,4.0,w sali,Zaliczenie pisemne lub odpowiedź ustna stanowi jedyną metodę oceny pracy studenta. Zaliczenie pisemne odbywa się w postaci testu jednokrotnego wyboru. W przypadku zaliczenia pisemnego test zalicza zaznaczenie ponad połowy dobrych odpowiedzi. Sprawdzana jest także obecność na zajęciach. Dopuszczalne są dwie nieobecności w semestrze.
Międzynarodowe prawo karne,6.0,w sali,Podstawą zaliczenia będzie wystąpienie na zajęciach (krótkie wprowadzenie do tematu zajęć) lub esej. Aktywne uczestnictwo w zajęciach będzie promowane.
"International, European and national aviation and space law",6.0,w sali,"Uczestnictwo w zajęciach, ocena pracy w czasie zajęć, ocena przygotowanych prezentacji – zgłoszenia dobrowolne; test sprawdzający wiedzę."
Polskie prawo wyznaniowe,4.0,w sali,"Ocena ciągła. Kryteria oceny to: uczestnictwo w zajęciach, aktywności podczas zajęć oraz wyniki testu sprawdzającego wiadomości przeprowadzonego pod koniec semestru."
History of European Public Law,4.0,w sali,"1. Obecność na zajęciach.
2. Udział w dyskusji w trakcie zajęć.
3. Test końcowy (w przypadku braku aktywności na zajęciach)."
Koncepcje ustrojowe we współczesnym świecie,4.0,w sali,"obecność na zajęciach
ocena ciągła (aktywność i przygotowanie do zajęć
Kolokwium końcowe.
Fakultatywnie (zamiennie w stosunku do kolokwium): esej na zadany temat."
Gwarancje praw obywatelskich,4.0,w sali,"Obecność na zajęciach
Zaliczenie kolokwium końcowego albo fakultatywnie napisanie eseuj na zadany temat 
Ocena bieżąca aktywności na zajęciach"
Wybrane modele ustrojowe współczesnego świata,4.0,w sali,"kontrola obecności
ocena ciągła (bieżące przygotowanie do zajęć i aktywność)"
Warszawa wielokulturowa – historia i teraźniejszość,2.0,w sali i w terenie,"Aktywny udział w zajęciach (zaangażowanie w zwiedzanie i/lub dyskusje)
Przygotowanie przynajmniej jednego tematu (jednych zajęć)"
Program R w zastosowaniach ekonomicznych i finansowych (kurs internetowy),3.0,zdalnie,"Kurs prowadzony jest na platformie e-learningowej, co wymaga znacznej aktywności i systematyczności. Do końcowej oceny wliczane są prace domowe wykonywane cyklicznie, krótkie testy dostępne na platformie oraz końcowe zaliczenie w sali komputerowej na WNE UW lub przygotowanie własnego projektu. Premiowana jest aktywność na forach oraz rozwiązywanie dodatkowych zadań. Alternatywną formą zaliczenia jest przygotowanie użytecznego i interesującego pakietu dodatkowego do programu R. Szczegóły punktacji podane są na platformie e-learningowej."
Giełda i rynek finansowy,3.0,zdalnie,"Studenci, którzy opuścili nie więcej niż dwa zajęcia będą mogli wybierać jedna z dwu form zaliczenia: napisanie eseju na uzgodniony z wykładowcą temat lub sprawdzian ustny z posiadanej wiedzy. Kto opuścił więcej niż dwa zajecie będzie miał możliwość skorzystania tylko ze sprawdzianu ustnego. Dodatkowo przewiduje się możliwość podniesienia stopnia o 0,5 za zgłoszenie się w trakcie zajęć do samodzielnego skomentowania sytuacji na rynku finansowym w ostatnim okresie (zwykle – ostatnim tygodniu)"
Gry w rozwoju osobistym i zawodowym,3.0,w sali,"Warunki konieczne zaliczenia: zdobycie wymaganej łącznie liczby punktów.
Punkty zdobyte podczas zajęć stanowią 100% łącznej sumy punktów."
Kobiety i mężczyźni w praktyce zarządzania: wyzwania i możliwości,3.0,w sali,"Po ukończeniu przedmiotu student:
– rozpoznaje podstawowe uwarunkowania zarządzania w warunkach różnorodności
– wyjaśnia problemy z praktyki dyskryminacji i programów wsparcia w organizacjach
– potrafi przeprowadzić samodzielną analizę najpowszechniej stosowanych narzędzi w zarządzaniu różnorodnością w organizacji"
Kurs na Równość - przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
Microsoft Excel - kurs podstawowy (kurs internetowy),3.0,zdalnie,"Na końcową ocenę składają się:
- praca domowa za 10 punktów (projekt końcowy z wykorzystaniem prezentowanych narzędzi),
- aktywność na zajęciach.
Punktacja:
Punkty Ocena
[0-5) 2
[5-6) 3
[6-7) 3,5
[7-8) 4
[8-9) 4,5
[9-10] 5
powyżej 10 5!"
Podejmowanie decyzji inwestycyjnych na rynku kapitałowym,3.0,zdalnie,"Zaliczenie w postaci testu jednokrotnego wyboru w formie zdalnej na platformie internetowej. Możliwość podniesienia oceny o jeden stopień dla studentów, którzy aktywnie uczestniczą w zajęciach."
Political Philosophies from Plato to the Present,4.0,zdalnie,"(tylko po angielsku) Group assignment: an interactive debate in assigned debating teams to be carried out in class time on an assigned date (20%)
One final closed book examination with open essay type questions (80%) 
Two hour closed book examination after the end of the course"
Zarządzanie sobą,3.0,w sali,"Ocena z przedmiotu będzie wystawiona na podstawie samodzielnie przygotowanego eseju. Treścią pracy będzie przedstawienie przez studenta planu własnego rozwoju osobistego, stawianych sobie celów życiowych i zawodowych, opisanie wybranych przez siebie sposobów i technik psychologicznych pozwalających spełnić swoje zamierzenia. 
Oceniana będzie umiejętność formułowania planów i adekwatność wybranych technik."
Różne przypadki z życia książki,5.0,zdalnie,"Student poddawany jest ocenie po każdych zajęciach. 
Kontrola procesu nauczania polega na cząstkowym sprawdzeniu zdobytej wiedzy (np. pytania testowe, krótkie wypowiedzi pisemne, prezentacje itp.). 
Student zaliczenie przedmiotu uzyskuje po zdobyciu 60% punktów.
0%–59% punktów ocena niedostateczna (2)
60%–74% punktów ocena dostateczna (3)
75%–89% punktów ocena dobra (4)
90%–98% punktów ocena bardzo dobra (5)
99%-100% punktów ocena bardzo dobra ! (5!)"
Media a celebryci,3.0,zdalnie,"Wymagania egzaminacyjne:
Praca pisemna lub prezentacja multimedialna na temat wykorzystania mediów przez celebrytów w celu kształtowania własnego wizerunku. Celem pracy jest zapoznanie się z wiedzą, jaką student zdobył podczas zajęć. Przede wszystkim oceniane będzie wieloaspektowe przedstawienie omawianego zjawiska."
Strategia i kreacja reklamy,4.0,w sali,"1.Zajęcia są obowiązkowe – dozwolone 2 nieobecności max. 
2. Praca pisemna (analiza reklam) + pisemny egzamin końcowy (test)
3. Osoby, które przygotują najlepsze prace są zwolnione  z egzaminu."
Zimna wojna,3.0,zdalnie,Praca pisemna na jeden z podanych przez prowadzącą tematów.
Zarządzanie sytuacjami kryzysowymi w perspektywie public relations,3.0,zdalnie,"Końcowe zaliczenie pisemne / online.
Skala ocen:
90-100% 5,0
80-89%   4,5
70-79%   4,0
60-69%   3,5
50-59%   3,0
0-49%     2,0"
Archeologia w czasach popkultury,2.5,w sali,"Ocenie podlegają udział w dyskusjach (30%) oraz wynik egzaminu końcowego (70%). Kryteria oceniania: umiejętność ogólnego scharakteryzowania i opisania wybranych 3 z 10 omawianych tematów.
Egzamin ustny"
Mass media w starożytnej Grecji,2.5,zdalnie,"W ramach kursu Mass Media w starożytnej Grecji dostępne są dwa warianty zaliczenia – student samodzielnie wybiera dogodną formę:
1. Egzamin całościowy (jednorazowy)
– bez obowiązku uczestnictwa w wykładach;
– zaliczenie odbywa się na podstawie wskazanej literatury;
– termin egzaminu zostanie podany podczas pierwszego wykładu organizacyjnego.
2. Egzaminy cząstkowe (po każdym cyklu tematycznym)
– dotyczą mniejszej porcji materiału (np. tylko cyklu Mykonos, Olimp lub Atlantyda);
– wymagana aktywna obecność na wykładach „na żywo” – dopuszczalne maksymalnie 2 nieobecności w semestrze.
Szczegółowe informacje, zasady zaliczenia i harmonogram zostaną przedstawione na pierwszym wykładzie – udział w nim jest szczególnie zalecany."
Co powiedział Zaratustra. Historia religii zoroastryjskiej,2.5,w sali,Egzamin pisemny. Odpowiedź na 3 z 5 pytań oznacza zdanie egzaminu na ocenę dostateczną
Wierzenia i kultury w epoce brązu i wczesnej epoce żelaza w Europie Środkowej,2.5,w sali,Egzamin pisemny
Życie codzienne w cieniu Wezuwiusza,2.5,w sali,"Oceniany będzie poziom wiedzy studenta na tematy zrealizowane podczas wykładów. 
Sprawdzianem wiedzy będzie egzamin pisemny opisowy."
Maya Hieroglyphic Writing - beginner level,8.0,zdalnie,Do każdego rozdziału kursu dołączone są obowiązkowe ćwiczenia. Zaliczenie kursu uzyskuje się na podstawie regularnego uczestnictwa i końcowego egzaminu pisemnego.
Żydzi pod zaborami,2.0,w sali,"Indywidualne w zależności od wykładowcy.
Zob. sylabus osoby prowadzącej grupę zajęciową w danym cyklu dydaktycznym."
Ku nowoczesności. Żydzi w okresie pierwszej wojny światowej i dwudziestoleciu międzywojennym (1914-1939),2.0,w sali,Warunkiem zaliczenia przedmiotu jest obecność na zajęciach i uzyskanie pozytywnej oceny (powyżej 60%) z testu końcowego.
Kurs na Równość - przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
