Nazwa,ECTS,Tryb,Kryteria,kategorie
Filozofia nauk ścisłych i matematyki do XIX w.,6.0,w sali,"Zaliczenie na ocenę. 
Dla zaliczenia przedmiotu wymagane jest: 
1) regularne uczęszczanie na wykład 
[UWAGA: W przypadku konieczności nauczania zdalnego, warunek ten zastąpiony jest przez wymóg regularnego słuchania wykładu przez internet i/lub zapoznawania się z materiałami rozsyłanymi co tydzień mailami przez wykładowcę; ponadto co tydzień student ma odpowiedzieć mailem na przesłane wraz z materiałami pytania kontrolne],
2) napisanie i przesłanie mailem eseju, ocenianego na stopień 
[ten wymóg nie zmienia się w przypadku konieczności nauczania zdalnego]. 
Temat eseju wybiera student (w razie wątpliwości może go uzgodnić z wykladowcą). Esej ma dotyczyć jakiegoś zagadnienia szeroko rozumianej filozofii, zwiazanego z problemami matematyki i/lub fizyki, chemii bądź astronomii/kosmologii, ktore pojawily sie w nauce przed 1870 r.
Esej ma być napisany samodzielnie. Ma zawierać wstęp (w którym m.in. sformułowane jest główne zagadnienie i cel eseju), część opartą na wiedzy zaczerpniętej z książek lub artykułów, opis i analiza kwestii, wokół której koncentruje sie esej, podsumowanie i wnioski, bibliografia. 
Szczegóły dotyczące sposobu napisania eseju są na początku semestru wysyłane mailem do słuchaczy. Ocena z eseju jest oceną z przedmiotu.
Przy ocenie bierze się pod uwagę zarówno treść eseju, jak i sposób jego napisania, klarowność wywodów oraz poziom językowy pracy.",Filozofia i religia
Historia matematyki I,3.0,,"Końcowy sprawdzian pisemny, w formie testu z pytaniami otwartymi na platformie Moodle.",Historia i archeologia
Jak TO działa? Urządzenia kwantowe,3.0,lektura monograficznaw sali,"OBECNOŚĆ: - w zasadzie obowiązkowa (trzeba być co najmniej na 10 z 15 wykładów). Na początku każdego wykładu prosty test, więc żeby być dopuszczonym do zaliczenia wykładu należy zdobyć co najmniej 10p z 15 możliwych.
ZALICZENIE: Jedna z trzech form:
1. esej na temat PRZYSZŁOŚCI
2. film pokazujący doświadczenie i jego POPULARNE wyjaśnienie na gruncie mechaniki kwantowej
3. Końcowy TEST z wiedzy przekazanej w czasie wykładów",Inne
Klimatyczne ABC. Interdyscyplinarne wprowadzenie do problemu zmiany klimatu i kryzysu ekologicznego.,2.0,zdalnie,Ocena końcowa zostanie wystawiona na podstawie punktów za zadania i testy wykonywane na platformie Kampus w ciągu semestru i na koniec kursu.,Inne
Kurs na Równość - przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu.",Równość i prawa człowieka
Wszechświat cząstek elementarnych dla humanistów,3.0,,"Wymagania niezbędne do zaliczenia:
obecność na wykładzie, 50% punktów z testów pisemnych.
Obecność na wykładzie będzie weryfikowana poprzez krótkie testy udostępniane na platformie Kampus w trakcie wykładu. Punkty z testów wykładowych będą się też sumować (z wagą 0.5) z punktami testu końcowego.
Lista pytań testowych będzie umieszczona na stronie wykładu.",Inne
Bioinformatyka,1.5,w sali,Test zaliczeniowy składający się z około 10 pytań zamkniętych i 5 otwartych (przeprowadzony w sali)  lub egzamin ustny (możliwy w trybie zdalnym).,Inne
Chemiczna analiza w badaniu środowiska,2.0,w sali,"Zaliczenie na ocenę lub zaliczenie na podstawie obecności dla studentów, którzy rozpoczęli studia przed rokiem akademickim 2005/2006.",Technologie i dane
"Chemia i biologia życia codziennego, czyli jak najprościej wytłumaczyć zjawiska zachodzące wokół nas",3.0,mieszany: w sali i zdalnie,"Zajęcia zaliczane będą na ocenę, składającą się z oceny zadań otrzymywanych przez uczestników oraz ich aktywności podczas zajęć.
Rejestr obecności będzie prowadzony podczas zajęć stacjonarnych i synchronicznych (sprawdzanie listy obecności).
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu wynosi 1.
Zaliczenie w terminie poprawkowym można uzyskać po zaliczeniu prac.",Nauki ścisłe i przyrodnicze
Chemia morza i regionów polarnych,2.0,mieszany: w sali i zdalnie,Zaliczenie przedmiotu odbywa się na podstawie krótkiego testu jednokrotnego wyboru i opracowania (w formie 5-minutowej prezentacji) oraz przedyskutowania aktualnego artykułu naukowego związanego z treścią wykładu i zainteresowaniami słuchacza.,Nauki ścisłe i przyrodnicze
Chemia wokół nas – zajęcia laboratoryjne,2.0,w sali,"Ocena wystawiana jest na podstawie:
- uczestnictwa w zajęciach
- zaliczenia kart pracy
- wykonania pracy domowej (implementowanej na platformie Kampus)
Rejestr obecności będzie prowadzony podczas zajęć (sprawdzanie listy obecności).
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu wynosi 2.
Zaliczenie w terminie poprawkowym można uzyskać po wykonaniu pracy domowej i zaliczeniu kart pracy.",Nauki ścisłe i przyrodnicze
Chór Wydziału Chemii I,3.0,w sali,"Obecność na próbach i koncertach Chóru;
Umiejętność wykonania partii wokalnych wybranych utworów - oceniana na podstawie pracy na próbach i/lub indywidualnych zajęć;
Aktywność i zaangażowanie podczas zajęć oraz w  pracy własnej chórzysty w zakresie przygotowaniu do prób na podstawie dostępnych materiałów i nagrań.",Muzyka i sztuka
General Chemistry,6.0,w sali,"Dwa pisemne testy i pisemny końcowy egzamin na który składa się 10 - 15 pytań. 
Możliwe jest zaliczenie na podstawie obecności.",Inne
Marine Microplastics: from the anthropogenic litter to the plastisphere,1.5,mieszany: w sali i zdalnie,The oral presentation of the selected scientific article and short quiz. All details to be given and clarified at the first lecture.,Inne
Modelowanie molekularne,1.5,,Test zaliczeniowy składający się z około 10 pytań zamkniętych i 5 otwartych (przeprowadzony w sali)  lub egzamin ustny (możliwy w trybie zdalnym).,Inne
Struktura polimerów i biopolimerów,1.5,,Test zaliczeniowy składający się z około 10 pytań zamkniętych i 5 otwartych (przeprowadzony w sali) lub egzamin ustny (możliwy w trybie zdalnym).,Inne
Wstęp do nanotechnologii,1.5,mieszany: w sali i zdalnie,Zaliczenie na podstawie krótkiego quizu i prezentacji (5 min.) wybranego zagadnienia zgodnego z tematyką wykładu oraz zainteresowaniami słuchacza.,Inne
Zastosowanie enzymów w syntezie organicznej,1.5,w sali,"Zaliczenie na ocenę (test z pytaniami zamkniętymi).
0% -   50%  2 
51% - 60%  3
61% - 70%  3,5
71% - 80%  4
81% - 90%  4,5
91% -100% 5",Inne
"Dinozaury, wymierania, szkielety",2.0,,"Dopuszczalna nieobecność na zajęciach: 2 razy.
Ocena jakości wygłoszonego referatu.
Zaliczenie w terminie poprawkowym: powtórny referat.",Inne
Kosmetyki mineralne – ścieżki kreowania nowego produktu,2.0,,Ocena: 1. pracy studentów podczas zajęć laboratoryjnych (limit nieobecności – dwie); 2. raportu wykonanego z wybranego bloku praktikum.,Inne
Antropogeniczne przekształcenia środowiska,2.0,,Istotna jest obecność na zajęciach; pisemne sprawdzenie wiedzy na zakończenie cyklu wykładów.,Inne
Dwa weekendy z geologią,3.0,,"Obecność i aktywność na zajęciach. Dopuszczalna jest nieobecność na jednym bloku zajęciowym, ale w zastępstwie będzie do napisania esej na zadany temat geologiczny na podstawie sugerowanej literatury lub rozszerzona wersja raportu.
Raport na zadany temat dotyczący wykorzystania skał w architekturze na wybranych przykładach. Raport ten powinien być poprawny merytorycznie i językowo oraz napisany konkretnie na zadany temat, powinien zawierać estetycznie wykonane załączniki, w tym osobiście wykonane załączniki graficzne (np. zdjęcia), wyraźne i dobrze dokumentujące skład i tekstury skał oraz formę zastosowania. Przykłady powinny być opatrzone samodzielnymi opiniami dot. zastosowania danego materiału w kontekstach użytkowym/praktycznym i estetycznym.",Inne
Ewolucja człowieka – świadectwa kopalne,1.0,,"Podstawowym kryterium zaliczenia przedmiotu jest obecność, a ocena wystawiana jest na podstawie krótkiego pisemnego referatu.",Inne
Ewolucja konwergentna kręgowców,2.0,,"Zaliczenie w formie kolokwium. Obecność na wszystkich wykładach podwyższa ocenę o mnożnik 1,2. Jedna nieobecność podwyższa ocenę o mnożnik 1,1. Oceniane jest opanowanie materiału przekazanego podczas wykładów. W szczególności umiejętność zastosowania nabytej wiedzy do przeprowadzania poprawnej interpretacji danych obserwacyjnych (zapis kopalny, zmienność morfologiczna itp.).",Inne
Ewolucjonizm,2.0,,"Kontrola obecności, końcowe zaliczenie pisemne w formie referatu na wybrany z proponowanych przez prowadzącego temat.",Inne
Geobiology,3.0,,The examination requirements cover the material presented in the lectures. The exam is written and includes a test and descriptive section.,Inne
Geologia dynamiczna I,3.0,,"Warunkiem zaliczenia ćwiczeń jest:
- obecność na zajęciach (dopuszczalne są 2 nieobecności, przy czym w przypadku ćwiczeń z rozpoznawania skał opuszczone zajęcia należy odrobić w innym terminie);
- zaliczenie na ocenę pozytywną kolokwium ze skał.
Na początku każdych ćwiczeń z rozpoznawania minerałów i skał sprawdzane jest w formie krótkiej kartkówki przygotowanie studenta do bieżących zajęć. Student odpowiada na 1 lub 2 krótkie pytania. Za poprawne odpowiedzi uzyskuje określoną ilość punktów. Suma punktów uzyskanych w ciągu semestru jest podstawą dopuszczenia do kolokwium z rozpoznawania minerałów i skał.
Kolokwium składa się z dwóch części: teoretycznej i praktycznej. Część pierwsza - teoretyczna może zawierać zarówno pytania testowe jak i otwarte. W pytaniach otwartych student samodzielnie udziela krótkich odpowiedzi, natomiast w części testowej wybiera poprawną odpowiedź/odpowiedzi z kilku proponowanych. Odpowiedzi na pytania oceniane są odpowiednią ilością punktów.
Druga część kolokwium pozwala ocenić wiedzę studenta z praktycznego rozpoznawania minerałów i skał. Każdy student otrzymuje zestaw złożony z losowo wybranych minerałów skałotwórczych oraz skał. Kolokwium ma formę pisemną. Za każdy prawidłowo rozpoznany i opisany okaz student otrzymuje określoną liczbę punktów.
Ocena z kolokwium wystawiana jest na podstawie sumy punktów uzyskanych z części teoretycznej i praktycznej. 
Kolokwium poprawkowe odbywa się na takiej samej zasadzie jak kolokwium w I terminie i obejmuje obie części: teoretyczną i praktyczną.
Wiedza z części ćwiczeń dotyczącej „Interpretacji map geologicznych” sprawdzana jest w formie kartkówki.
Ocena końcowa jest sumą (w zaokrągleniu do 0.5) ocen składowych z kolokwium ze skał, kartkówek z rozpoznawania skał oraz kartkówki z map, pomnożonych odpowiednio przez: 0.68, 0.22 i 0.11.",Inne
Gemmologia (cz.1),2.0,,"Położony będzie nacisk na zainteresowanie problematyką gemmologiczną, a nie na ocenianie zdobytej wiedzy. Ze względu na bardzo różne przygotowanie słuchaczy studenci indywidualnie wybiorą właściwy ich potrzebom poziom przyswojenia szczegółowych informacji.",Inne
Gwiezdny pył-meteoryty-wnętrze Ziemi,2.0,,zaliczenie może odbywać się w formie ustnej lub pisemnej - w zależności od liczebności grupy; forma pisemna (sprawdzian pisemny/egzamin) składa się z pytań wielokrotnego wyboru lub pytań otwartych; test jest przeprowadzany zdalnie lub stacjonarnie za pośrednictwem platformy cyfrowej Kampus lub Google Classroom,Inne
Geologia w sobotę,3.0,,"Obecność na zajęciach. Dopuszczalna jest nieobecność na jednym bloku zajęciowym, ale w zastępstwie będzie do napisania esej na zadany temat geologiczny na podstawie sugerowanej literatury lub samodzielne dodatkowe wykonanie raportu na zadany temat jako ekwiwalent nieobecności.
Staranność i poprawność wykonywania zadań kameralnych i w czasie zajęć terenowych.
Raport na zadany temat dotyczący wykorzystania skał w architekturze Warszawy lub innej miejscowości.
Każdy raport powinien być poprawny merytorycznie i językowo oraz napisany konkretnie na zadany temat, powinien zawierać przemyślane samodzielnie wnioski końcowe oraz osobiście wykonane załączniki graficzne (m.in. zdjęcia).",Inne
Geologia - wybrane zagadnienia (kurs internetowy),3.0,,"Sprawdzanie testów i zadań, które studenci dostają do rozwiązania na każdych zajęciach. Końcowy sprawdzian testowy z całego materiału przedstawianego na kursie.",Inne
Hydrogeologia krasu,2.0,,Zaliczenie w formie ustnej. Dopuszczalna liczba nieobecności na zajęciach: trzy.,Inne
"Hydrogeologia Tatr, Pienin i Podhala",2.0,,Kolokwium ustne,Inne
Ingerować czy obserwować – proces decyzyjny w ochronie przyrody nieożywionej,2.0,,Zaliczenie pisemne (opracowanie typu esej). Dopuszczalna liczba nieobecności na zajęciach: trzy. Zaliczenie poprawkowe: egzamin ustny.,Inne
Najciekawsze stanowiska mineralogiczne Polski,2.0,,Ocenianie osiągniętych przez studenta efektów uczenia się odbywa się na podstawie zaliczenia ustnego.,Inne
Paleozoologia kręgowców,2.0,,Oceniana jest treść i forma przedstawionego referatu dotyczącego tematyki wykładu.,Inne
Paleontologia I-wdw,2.0,,"Dopuszczalna nieobecność na zajęciach: obecność nieobowiązkowa.
Kolokwium pisemne.
Zaliczenie w terminie poprawkowym: kolokwium przed końcem semestru.",Inne
Parki narodowe w XXI wieku – przeżytek czy nowe wyzwania (na przykładzie Tatrzańskiego Parku Narodowego),2.0,,Zaliczenie pisemne (opracowanie typu esej). Dopuszczalna liczba nieobecności na zajęciach: trzy. Zaliczenie poprawkowe: egzamin ustny.,Inne
"Paleozoologia bezkręgowców, część II",2.0,,Zaliczenie na podstawie pracy zaliczeniowej.,Inne
Paleozoologia kręgowców,2.0,,Oceniana jest treść i forma przedstawionego referatu dotyczącego tematyki wykładu.,Inne
Surowce krytyczne vs. polityka,2.0,,Wiedza studenta oraz zaangażowanie w proces kształcenia powinna być głównie oceniana poprzez konwersatoryjny (aktywny) sposób uczestnictwa w zajęciach. Zaliczenie przedmiotu na ostatnich zajęciach poprzez wspólne z prowadzącym zadawanie pytań i wspólną ocenę zdobytej wiedzy.,Prawo i polityka
Surowce mineralne Polski,3.0,,Test. Oceniana jest ogólna wiedza z zakresu znajomości budowy geologicznej Polski i rozpoznawania głównych surowców mineralnych.,Inne
Tektonika planet,2.0,,"Zaliczenie na podstawie końcowego testu (wyboru i uzupełnień), obejmującego materiał zamieszczony w internetowych konspektach wykładów. Egzamin poprawkowy – powtórny test.",Inne
Warsztaty geologiczne - rozpoznawanie skał,3.0,,"Warunkiem zaliczenia przedmiotu jest:
- obecność na zajęciach (dopuszczalne są 2 nieobecności);
- wykonanie tabeli zbiorczej z cechami minerałów i skał;
- zaliczenie pisemnego kolokwium końcowego lub wykonanie sprawozdania",Inne
Własności magnetyczne skał,2.0,,Zaliczenie na ocenę w formie testu.,Inne
Zrozumieć Ziemię,2.0,,Pisemny test jednokrotnego wyboru.,Inne
Chór Wydziału Biologii,3.0,w sali,"Na ocenę z przedmiotu składają się dwa czynniki: przestrzeganie regulaminu chóru, z którym uczestnicy zostaną zapoznani w trakcie zajęć, obecności na próbach oraz udział w koncertach chóru. Maksymalna ocena, którą można uzyskać dla danej liczby nieobecności, przedstawia się następująco:
0-1 nieobecności: 5!
2 nieobecności: 5
3 nieobecności: 4+
4 nieobecności: 4
5 nieobecności: 3+
6 nieobecności: 3
7 i więcej: 2
Udział w koncertach: warunkiem zaliczenia na ocenę dostateczną jest uczestnictwo w trzech koncertach chóru. Za uczestnictwo w każdym kolejnym koncercie student uzyskuje podwyższenie oceny końcowej o jeden stopień.",Muzyka i sztuka
Kurs na Równość – przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu.",Równość i prawa człowieka
The world at the crossroads,3.0,,"- Obecność i aktywność na co najmniej 8 z 10 spotkań  jest warunkiem wstępnym zaliczenia.
- Ocena opiera się na pisemnych mini-esejach dotyczących omawianych filmów i problemów.
- Sposób zaliczenia: mini-eseje (100-300 słów) pisane na wylosowane tematy podczas egzaminu.",Inne
Sterowanie procesami morfogenetycznymi w hodowlach in-vitro,3.0,w sali,"Warunkiem dopuszczenia do zaliczenia laboratorium jest co najmniej 80% obecność na zajęciach. Student przygotowuje prezentację multimedialną lub plakat z osiągniętych wyników. 
Egzamin w formie pisemnej.",Inne
Mutualizm i pasożytnictwo,2.0,,egzamin pisemny,Inne
Wstęp do enzymologii,2.0,w sali,,Inne
Biologia molekularna dla niebiologów,2.0,mieszany: w sali i zdalnie,"Obecność na zajęciach oraz pozytywna ocena z egzaminu pisemnego są warunkiem zaliczenia przedmiotu.
1. Obecność na zajęciach
Dopuszcza się 3 nieobecności w trakcie semestru. Obecność na zajęciach będzie weryfikowana na podstawie własnoręcznego podpisu studenta składanego na liście osób zapisanych na zajęcia.
2. Egzamin pisemny
Na ostatnich zajęciach zostanie przeprowadzony egzamin pisemny w formie testu. Student może korzystać w trakcie egzaminu z własnych notatek.",Nauki ścisłe i przyrodnicze
"Bakterie, wirusy a człowiek",2.0,w sali,Egzamin testowy,Inne
Ochrona przyrody,2.0,w sali,Test jednokrotnego wyboru (4 możliwe odpowiedzi) składający się z 50 pytań. Zaliczenie - powyżej 60% poprawnych odpowiedzi.,Inne
Inwazje biologiczne,2.0,w salizdalnie,"Forma egzaminu: pisemna [ewentualnie zdalna]: test pojedynczego wyboru lub test wielokrotnego wyboru; pytania opisowe. 
Zalicza 51% możliwych do zdobycia punktów.",Inne
Biologia zapylania roślin,2.0,w sali,Kurs zaliczany jest na podstawie egzaminu testowego.,Nauki ścisłe i przyrodnicze
Biotechnologia roślin: GMO dla ochrony środowiska,2.0,w sali,Do zaliczenia wykładu konieczna jest obecność na zajęciach (możliwe trzy nieobecności). Ocena końcowa wystawiana na podstawie pisemnego egzaminu. Na egzaminie można mieć ze sobą notatki z wykładów.,Inne
"Kult istotności statystycznej. Ukryte niepewności losowe w nauce, ich źródła w ludzkim umyśle i nieoczekiwane skutki",2.0,w sali,Kilka bardzo krótkich sprawdzianów pisemnych w trakcie wykładu (o łącznej wadze nieprzekraczającej 25% punktów) i pisemny egzamin końcowy; ocena na podstawie całkowitej sumy punktów. Obecność na wykładzie obowiązkowa; liczba dopuszczalnych nieobecności - zgodnie z Regulaminem Studiów.,Inne
Podstawy prezentacji naukowej,2.0,,"Ocena jakości przygotowanego i wygłoszonego referatu naukowego, dokonana przez odbiorców oraz aktywny udział w zajęciach (obecność na minimum 85% czasu zajęć).",Inne
Rośliny w religii i sztuce,2.0,,Ocena na podstawie egzaminu pisemnego.,Inne
Przemiany w Europie Środkowej i Wschodniej po II wojnie światowej,1.0,w sali,"Test zaliczeniowy.
 Aby zostać dopuszczonym do testu należy być obecnym co najmniej na jednym wcześniejszym wykładzie.",Inne
Historia odkryć geograficznych I,2.0,w sali,"Zaliczenie na ocenę.
Obecność na wykładach (można mieć 5 nieobecności)
Przygotowanie pracy pisemnej - eseju - na podany temat. W eseju przy ocenie brana jest także pod uwagę strona ilustracyjna (mapy).",Historia i archeologia
Migracje zarobkowe i ich skutki społeczno-gospodarcze,2.0,w sali,"Zaliczenie na podstawie wyniku z testu pisemnego składającego się z pytań otwartych i zamkniętych (ostatnie wspólne zajęcia)
Do uzyskania pozytywnej oceny wymagane jest 50% punktów.
Poprawa odbywa się na tych samych zasadach co pierwsze kolokwium.",Inne
GIS - funkcjonalność i zastosowania,4.0,w sali,"Ocenianie ciągłe – postępy w pracy podczas zajęć, wykonanie ćwiczeń wg instrukcji. Przygotowanie na ostatnich zajęciach projektu na zaliczenie. Składowe oceny: ocena bieżąca - 75 %, projekt końcowy - 25%.
Dopuszcza się dwie nieusprawiedliwione nieobecności na ćwiczeniach. Dopuszczalna całkowita liczba nieobecności na zajęciach (usprawiedliwionych i nieusprawiedliwionych) wynosi 7, niemniej student zobowiązany jest uzupełnić zaległości powstałe w wyniku nieobecności (bez względu na jej przyczynę) w ciągu 2 tygodni od jej zakończenia. Szczegółowe informacje na temat trybu prowadzenia i zaliczenia ćwiczeń zostaną przekazane na pierwszych zajęciach.",Inne
Gospodarowanie na obszarach zimnych,2.0,w sali,"Końcowe zaliczenie pisemne w formie eseju dotyczącego wybranych przez studenta zagadnień poruszanych na wykładzie.
Ocena za esej stanowi 50% oceny końcowej, kontrola obecności drugie 50% oceny. 
Nieusprawiedliwiona nieobecność na 8 wykładach skutkuje niezaliczeniem przedmiotu. 
Ocena b.db. przyznawana jest w przypadku wysokiej frekwencji (nie więcej niż 2 nieusprawiedliwione nieobecności) oraz eseju, który znacząco rozszerza tematykę poruszaną na wykładach.
Jest możliwość zaliczenia w sesji poprawkowej na tych samych zasadach.",Inne
Geography of the World,6.0,w sali,"Written exam with test questions.
Discussions and workshops during lectures.
The final exam is a written test consisting of open and closed questions. 50% of the points are required to obtain a positive grade.
The make-up exam takes place on the same terms as passing the exam for the first time.",Inne
Global problems in the contemporary world,4.0,w sali,"Written exam with test questions.
The exam is a written test consisting of open and closed questions. 50% of the points are required to obtain a positive grade.
The make-up exam takes place on the same terms as passing the exam for the first time.",Inne
Geografia turystyczna Europy,2.0,w sali,"Ocenie podlega stopień przyswojenia wiedzy przekazanej podczas wykładu.
Podstawę zaliczenia stanowi ocena z pisemnego testu.",Inne
Geografia turystyczna krajów arabskich,2.0,w sali,"Metody oceny: 
Praca semestralna (pisemna) na ocenę, oddawana w formie elektronicznej.",Inne
Historia miasta na dawnych planach Warszawy,1.0,w sali,Zaliczenie na podstawie „wyjściówek” – krótkich refleksji i/lub odpowiedzi na temat przedmiotu poszczególnych zajęć pisanych pod koniec każdego wykładu. Możliwe podniesienie oceny przez przygotowanie pracy zaliczeniowej lub rozmowę z prowadzącym o treściach wykładu.,Historia i archeologia
"Kolonializm, postkolonializm, neokolonializm (I)",2.0,w sali,Egzamin pisemny w sesji - próg zaliczenia 50%,Inne
Kurs na Równość – przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu.",Równość i prawa człowieka
"Mikrokosmosy, czyli podróż przez Polskę regionów i małych ojczyzn",2.0,w sali,"Wykład zakończony będzie testem składającym się z pytań zamkniętych i otwartych. W zależności od wielkości grupy test może być przeprowadzony stacjonarnie bądź online. Zaliczenie przy zdobyciu co najmniej 60% punktów.
Możliwe zaliczenie w terminie zerowym poprzez wykonanie pracy kreatywnej związanej z małą ojczyzną studenta. Praca indywidualna. Termin oddania na 2 tygodnie przed terminem egzaminu.",Inne
Natural environment of Poland,4.0,zdalnie,"Attendance is optional, except for the last class with the test.",Inne
Obraz chorób zakaźnych w sztuce i historii,6.0,w sali,Zaliczenie zajęć odbywać się będzie na podstawie kontrolowanej obecności. Dodatkowo na ostatnich zajęciach drugiego semestru zostanie przygotowany test z pytaniami zamkniętymi.,Inne
Seminarium Warszawskie,2.0,w sali,"Obecność i aktywność studentów / doktorantów będzie oceniana następująco: obecność – 20% oceny, udział w dyskusji – 40% oceny, esej zaliczeniowy – 40% oceny. Aby uzyskać ocenę pozytywną, należy uzyskać 50% ocen cząstkowych (czyli sumarycznie – odpowiednio: 10%, 20% i 20%) – co oznacza, że należy uczestniczyć stacjonarnie co najmniej w 80% zajęć, podczas co najmniej trzech zajęć zabrać głos oraz napisać esej zaliczeniowy oceniony co najmniej na ocenę dostateczną (3). Esej powinien nawiązywać merytorycznie do wybranego tematu dyskutowanego podczas zajęć.
Sposób zaliczenia - obligatoryjnie: obecność podczas 80% zajęć, udział w dyskusji oraz esej zaliczeniowy na koniec cyklu zajęć.",Inne
Sustainable development - between global and local perspectives,4.0,w sali,"1. During the course: student's active participation in the classes is expected - asking questions, offering examples from their experience, etc.
2. At the end of the course:  
- all students take the final exam 
- there are two classes dedicated to workshops at the end of the course. The presenters can get extra points to their active attendance part of the grade for well-prepared presentations. 
3. Final grade
Active participation in the class (incl. presentation extra credit) = 40% of the final grade
Final exam = 60% of the final grade",Inne
Tourism Geography of Poland,4.0,w sali,,Inne
